units,area,value,income,occupiedunits,population,population_density,water_area,zip
37432,2.33,369500,36048,35524,97060,41649.0,0.0,10467
11854,1.63,427000,60691,11031,36256,22201.0,0.0,11418
,,,,,,,,11240
31331,1.48,271300,45864,29855,75784,51207.0,0.0,10462
16493,0.18,805300,102941,14622,26121,141546.0,0.0,10075
31045,1.79,615300,37580,29018,99598,55603.0,0.0,11220
37619,2.25,531000,41639,33886,79132,35237.0,0.19,11235
30978,2.63,480900,45964,28861,109931,41768.0,0.04,11368
18234,1.47,681700,61893,15572,41788,28428.0,0.0,11228
,,,,,,,,11240
18963,1.51,338100,53041,17724,53687,35447.0,0.0,11435
37619,2.25,531000,41639,33886,79132,35237.0,0.19,11235
13454,1.13,442900,56735,12688,47211,41805.0,0.0,11419
30978,2.63,480900,45964,28861,109931,41768.0,0.04,11368
39402,0.49,872500,103534,34383,60998,124357.0,0.0,10023
30978,2.63,480900,45964,28861,109931,41768.0,0.04,11368
25964,0.94,623300,43996,23193,54316,58065.0,0.0,11216
6882,1.42,401200,58600,6390,15293,10734.0,0.0,10470
14068,1.95,625200,65722,13380,37546,19260.0,0.0,11358
16724,0.98,464500,40372,15512,49896,50927.0,0.02,11237
18963,1.51,338100,53041,17724,53687,35447.0,0.0,11435
37745,1.29,480500,40734,36101,101572,78775.0,0.0,11226
28196,1.59,657500,45472,25449,78134,49173.0,0.0,11204
15467,3.87,403700,53168,14438,42193,10889.0,0.01,10304
37432,2.33,369500,36048,35524,97060,41649.0,0.0,10467
,,,,,,,,11240
27806,1.01,330300,24618,26201,79492,78784.0,0.0,10458
15823,0.33,602400,43107,14199,34003,102315.0,0.0,10026
24525,1.11,656800,65315,22648,49262,44555.0,0.0,11238
11854,1.63,427000,60691,11031,36256,22201.0,0.0,11418
31709,0.62,672800,59929,30182,61347,99492.0,0.0,10009
34679,2.16,625600,58261,31065,68853,31845.0,0.0,11209
18296,0.86,433600,48720,17101,38875,45359.0,0.01,11106
33714,7.55,488200,68431,31213,87757,11627.0,0.83,11234
37432,2.33,369500,36048,35524,97060,41649.0,0.0,10467
30978,2.63,480900,45964,28861,109931,41768.0,0.04,11368
20225,0.93,297300,52532,19311,43600,46664.0,0.0,11374
13454,1.13,442900,56735,12688,47211,41805.0,0.0,11419
20225,0.93,297300,52532,19311,43600,46664.0,0.0,11374
30978,2.63,480900,45964,28861,109931,41768.0,0.04,11368
37180,2.3,655500,46848,33489,90117,39209.0,0.07,11211
16724,0.98,464500,40372,15512,49896,50927.0,0.02,11237
,,,,,,,,11240
25100,0.74,265500,48683,23906,66636,90360.0,0.0,11372
25100,0.74,265500,48683,23906,66636,90360.0,0.0,11372
6882,1.42,401200,58600,6390,15293,10734.0,0.0,10470
11483,1.55,379700,42887,10230,32687,21062.0,0.0,11433
25071,0.87,716100,37872,22839,59707,68513.0,0.0,10027
